,season,episode,date,time,rating
202,SEASON 5 - Southern Africa,How a little off-roading got me into trouble.. [S5 - Eps. 57] , 1 year , 25 ,"s 446,148 views"
203,SEASON 5 - Southern Africa,Entering Namibia's TRIBAL LANDS [S5 - Eps. 58] , 1 year , 21 ,"s 273,597 views"
204,SEASON 5 - Southern Africa,How a Himba tribe reacts when they meet me [S5 - Eps. 59] , 1 year , 21 ,"s 2,376,833 views"
205,SEASON 5 - Southern Africa,Solo off-roading at the border between Namibia and Angola [S5 - Eps. 60] , 1 year , 17 ,"s 379,597 views"
206,SEASON 5 - Southern Africa,He wants to come with me and I say: THANK YOU! [S5 - Eps. 61] , 1 year , 16 ,"s 306,242 views"
207,SEASON 5 - Southern Africa,This ELEPHANT is going to CHARGE! 🐘 [S5 - Eps. 62] , 1 year , 17 ,"s 298,398 views"
208,SEASON 5 - Southern Africa,Face to face with THREE MALE LIONS in Namibia 🦁[S5 - Eps. 63] , 1 year , 23 ,"s 402,064 views"
209,SEASON 5 - Southern Africa,Onboard the 24/7 Anti-Poaching Unit 🦏[S5 - Eps.64] , 1 year , 20 ,"s 270,924 views"
210,SEASON 5 - Southern Africa,Let's change to four wheels instead of two! [S5 - Eps. 65] , 1 year , 24 ,"s 350,307 views"
211,SEASON 5 - Southern Africa,Crossing into BOTSWANA [S5 - Eps. 66] , 1 year , 19 ,"s 265,575 views"
212,SEASON 5 - Southern Africa,The realm of the ancestors. Botswana. [S5 - Eps. 67] , 1 year , 24 ,"s 283,726 views"
213,SEASON 5 - Southern Africa,An eerie swamp in Botswana [S5 - Eps. 68] , 1 year , 17 ,"s 239,508 views"
214,SEASON 5 - Southern Africa,Is it coming after me?? 🐘 [S5 - Eps. 69] , 1 year , 30 ,"s 425,223 views"
215,SEASON 5 - Southern Africa,CAREFUL!! [S5 - Eps. 70] , 1 year , 30 ,"s 402,550 views"
216,SEASON 5 - Southern Africa,I raced a Dakar Rally LEGEND! [S5 - Eps. 71] , 1 year , 34 ,"s 417,454 views"
217,SEASON 5 - Southern Africa,The hardest place to find in Botswana! [S5 - Eps. 72] , 1 year , 21 ,"s 306,439 views"
218,SEASON 5 - Southern Africa,Go off the main track and they will shoot you [S5 - Eps. 73] , 1 year , 21 ,"s 1,081,258 views"
219,SEASON 5 - Southern Africa,Where is your permit?! [S5 - Eps. 74] , 1 year , 18 ,"s 1,068,189 views"
220,SEASON 5 - Southern Africa,The entire town is out of petrol in BOTSWANA [S5 - Eps. 75] , 1 year , 20 ,"s 452,435 views"
221,SEASON 5 - Southern Africa,Crossing into ZIMBABWE [S5 - Eps. 76] , 1 year , 17 ,"s 688,944 views"
222,SEASON 5 - Southern Africa,To the heart of ZIMBABWE [S5 - Eps. 77] , 1 year , 18 ,"s 271,236 views"
223,SEASON 5 - Southern Africa,Trying to eat Mopane Worms for the first time. Zimbabwe. |S5 - Eps. 78| , 1 year , 21 ,"s 306,995 views"
224,SEASON 5 - Southern Africa,These are the dark caves of Zimbabwe. |S5 - Eps. 79| , 1 year , 13 ,"s, 24 seconds 259,611 views"
225,SEASON 5 - Southern Africa,He wants to jump on the back! |S5 - Eps. 80| , 1 year , 20 ,"s 325,194 views"
226,SEASON 5 - Southern Africa,These are the mountains of ZIMBABWE |S5 - Eps. 81| , 1 year , 20 ,"s 307,176 views"
227,SEASON 5 - Southern Africa,Got into bad weather in the Zimbabwean mountains |S5 - Eps. 82| , 1 year , 20 ,"s 281,349 views"
228,SEASON 5 - Southern Africa,These roads in Zimbabwe are a DISASTER |S5 - Eps. 83| , 1 year , 25 ,"s 463,257 views"
229,SEASON 5 - Southern Africa,Motorcycling the wild Chimanimani mountains in ZIMBABWE |S5 - Eps. 84| , 1 year , 22 ,"s 354,062 views"
230,SEASON 5 - Southern Africa,The best ruins I have EVER seen?!: GREAT ZIMBABWE |S5 - Eps. 85| , 1 year , 18 ,"s 380,319 views"
231,SEASON 5 - Southern Africa,Attempting to leave Zimbabwe - will they let me go? |S5 - Eps. 86| , 1 year , 26 ,"s 688,366 views"
232,SEASON 5 - Southern Africa,22.000 kilometer solo motorcycle journey through Africa - ITCHY BOOTS , 1 year , 23 ,"s 2,075,226 views"
233,SEASON 5 - Southern Africa,READY for the KALAHARI RALLY?! , 1 year , 26 ,"s 504,332 views"
234,SEASON 5 - Southern Africa,Itchy Boots rides Kalahari Rally 2021 - SUPER SPECIAL , 1 year , 21 ,"s 399,974 views"
235,SEASON 5 - Southern Africa,Itchy Boots rides KALAHARI RALLY - Stage 1. TROUBLE EARLY ON! , 1 year , 24 ,"s 306,642 views"
236,SEASON 5 - Southern Africa,Itchy Boots rides KALAHARI RALLY - Stage 2. Racing with wild horses. , 1 year , 27 ,"s 349,367 views"
237,SEASON 5 - Southern Africa,Riding KALAHARI DESERT DUNES on a CRF250L - Stage 3 , 1 year , 27 ,"s 315,992 views"
238,SEASON 5 - Southern Africa,KTM EXC 450 vs. Honda CRF250L in KALAHARI RALLY 2021 , 1 year , 23 ,"s 330,551 views"
239,SEASON 5 - Southern Africa,PROBLEMS on the longest stage.. Itchy Boots rides Kalahari Rally - Stage 5 , 1 year , 25 ,"s 345,388 views"
240,SEASON 5 - Southern Africa,I BROKE my Honda CRF250L into two pieces. Kalahari Rally - Final Stage 6. , 1 year , 16 ,"s 611,545 views"
241,SEASON 5 - Southern Africa,It's over. Itchy Boots - SEASON 5 FINALE , 1 year , 9 ,"s, 55 seconds 966,940 views"
242,SEASON 4 - The Dutch Moto Scene,Itchy Boots goes mini-bike!! [S4 - Eps. 1] , 2 years , 19 ,"s 392,692 views"
243,SEASON 4 - The Dutch Moto Scene,Racing TT Assen on a Honda CB500x !!  [S4 - Eps. 2] , 2 years , 23 ,"s 489,574 views"
244,SEASON 4 - The Dutch Moto Scene,A dream come true... [S4 - Eps. 3] , 2 years , 28 ,"s 2,213,044 views"
245,SEASON 4 - The Dutch Moto Scene,Training for new adventures around the world [S4 - Eps. 4] , 2 years , 21 ,"s 328,130 views"
246,SEASON 4 - The Dutch Moto Scene,I learned how to motocross!! [S4 - Eps. 5] , 2 years , 25 ,"s 377,451 views"
247,SEASON 4 - The Dutch Moto Scene,Dutch Flattrack: the race is ON! [S4 - Eps. 6] , 2 years , 19 ,"s 224,785 views"
248,SEASON 4 - The Dutch Moto Scene,Itchy Boots First ride on an Electric Motorcycle as Park Ranger Assistant [S4 - Eps. 7] , 2 years , 24 ,"s 591,269 views"
249,SEASON 4 - The Dutch Moto Scene,Itchy Boots CHRISTMAS SPECIAL , 2 years , 18 ,"s 241,712 views"
250,SEASON 4 - The Dutch Moto Scene,I joined the POLICE ACADEMY [S4 - Eps. 8] , 2 years , 26 ,"s 1,679,023 views"
251,SEASON 4 - The Dutch Moto Scene,I can’t believe they MOTOCROSS at the POLICE ACADEMY!! [S4 - Eps. 9] , 2 years , 28 ,"s 423,967 views"
252,SEASON 4 - The Dutch Moto Scene,Itchy Boots tries Enduro - THIS IS HARD! [S4 - Eps. 10] , 2 years , 28 ,"s 520,376 views"
253,"SEASON 3 - Denmark, Iceland, Norway & Sweden",Season 3 - SNEAK PREVIEW! , 2 years , 1 ," 225,440 views"
254,"SEASON 3 - Denmark, Iceland, Norway & Sweden",Let the adventure BEGIN! [S3 - Eps 1] , 2 years , 13 ,"s, 33 seconds 610,965 views"
255,"SEASON 3 - Denmark, Iceland, Norway & Sweden",Crossing into DENMARK [S3 - Eps 2] , 2 years , 10 ,"s, 43 seconds 508,726 views"
256,"SEASON 3 - Denmark, Iceland, Norway & Sweden",They moved the entire lighthouse!! [S3 - Eps 3] , 2 years , 14 ,"s, 16 seconds 357,274 views"
257,"SEASON 3 - Denmark, Iceland, Norway & Sweden","Got tested, broke the door and got sick. What a day. [S3 - Eps 4] ", 2 years , 16 ,"s 509,434 views"
258,"SEASON 3 - Denmark, Iceland, Norway & Sweden",Passing the remote FAROE ISLANDS [S3 - Eps. 5] , 2 years , 13 ,"s, 50 seconds 467,450 views"
259,"SEASON 3 - Denmark, Iceland, Norway & Sweden",I visit the Icelandic Queen of the ELVES! [S3 - Eps 6] , 2 years , 14 ,"s, 28 seconds 456,590 views"
260,"SEASON 3 - Denmark, Iceland, Norway & Sweden",Riding through horrendous weather in ICELAND [S3 - Eps 7] , 2 years , 16 ,"s 437,993 views"
261,"SEASON 3 - Denmark, Iceland, Norway & Sweden","Frozen trolls, Pseudo-Craters and Fjords - Iceland has it all!! [S3 - Eps 8] ", 2 years , 17 ,"s 397,156 views"
262,"SEASON 3 - Denmark, Iceland, Norway & Sweden",Motorcycling through the heart of ICELAND [S3 - Eps 9] , 2 years , 17 ,"s 433,959 views"
263,"SEASON 3 - Denmark, Iceland, Norway & Sweden",To Iceland's WEST FJORDS - by boat [S3 - Eps 10] , 2 years , 17 ,"s 370,060 views"
264,"SEASON 3 - Denmark, Iceland, Norway & Sweden",I've got ICELAND to myself! [S3 - Eps 11] , 2 years , 14 ,"s, 23 seconds 484,095 views"
265,"SEASON 3 - Denmark, Iceland, Norway & Sweden",I CANNOT believe this day of motorcycling Iceland!! [S3 - Eps 12] , 2 years , 17 ,"s 330,384 views"
266,"SEASON 3 - Denmark, Iceland, Norway & Sweden",Game of Thrones film location in Iceland 🇮🇸 [S3 - Eps 13] , 2 years , 12 ,"s, 41 seconds 333,979 views"
267,"SEASON 3 - Denmark, Iceland, Norway & Sweden",Spotting Wildlife in Iceland 🇮🇸  [S3 - Eps 14] , 2 years , 13 ,"s, 57 seconds 294,808 views"
268,"SEASON 3 - Denmark, Iceland, Norway & Sweden",Iceland to Denmark with M/S Norröna 🇩🇰 [S3 - Eps 15] , 2 years , 12 ,"s, 46 seconds 346,946 views"
269,"SEASON 3 - Denmark, Iceland, Norway & Sweden",Denmark has the BEST! 🇩🇰 [S3 - Eps. 16] , 2 years , 11 ,"s, 8 seconds 300,593 views"
270,"SEASON 3 - Denmark, Iceland, Norway & Sweden",Sweden's most mysterious  rocks 🇸🇪  [S3 - Eps. 17] , 2 years , 16 ,"s 355,792 views"
271,"SEASON 3 - Denmark, Iceland, Norway & Sweden",This is Swedish FIKA 🇸🇪 [S3 - Eps. 18] , 2 years , 14 ,"s, 6 seconds 424,188 views"
272,"SEASON 3 - Denmark, Iceland, Norway & Sweden",He travels Sweden on a 150cc VESPA! 🇸🇪 [S3 - Eps. 19] , 2 years , 13 ,"s, 5 seconds 329,428 views"
273,"SEASON 3 - Denmark, Iceland, Norway & Sweden",Swedish Police are the BEST! 🇸🇪 [S3 - Eps. 20] , 2 years , 15 ,"s 1,774,089 views"
274,"SEASON 3 - Denmark, Iceland, Norway & Sweden",I tried World’s SMELLIEST food in Sweden 🇸🇪[S3 - Eps. 21] , 2 years , 17 ,"s 764,463 views"
275,"SEASON 3 - Denmark, Iceland, Norway & Sweden",Solo Motorcycling the Swedish TET - Trans Euro Trail 🇸🇪 [S3 - Eps 22] , 2 years , 14 ,"s, 17 seconds 542,998 views"
276,"SEASON 3 - Denmark, Iceland, Norway & Sweden",New SHOES for my Honda CB500x 🏍  [S3 - Eps 23] , 2 years , 15 ,"s 439,482 views"
277,"SEASON 3 - Denmark, Iceland, Norway & Sweden",Meeting Sami people in Swedish Lapland 🇸🇪  [S3 - Eps. 24] , 2 years , 19 ,"s 356,037 views"
278,"SEASON 3 - Denmark, Iceland, Norway & Sweden",Swedish Lapland by Helicopter 🇸🇪 🚁 [S3 - Eps. 25] , 2 years , 20 ,"s 361,492 views"
279,"SEASON 3 - Denmark, Iceland, Norway & Sweden","Refused at the border - Finland, NO! 🇫🇮  [S3 - Eps 26] ", 2 years , 17 ,"s 1,098,968 views"
280,"SEASON 3 - Denmark, Iceland, Norway & Sweden",700-kilometer solo motorcycle journey to NORTH CAPE 🇳🇴 [S3 - Eps. 27] , 2 years , 15 ,"s 520,396 views"
281,"SEASON 3 - Denmark, Iceland, Norway & Sweden","7,000 year old rock art in Norway 🇳🇴 [S3 - Eps. 28] ", 2 years , 14 ,"s, 17 seconds 342,117 views"
282,"SEASON 3 - Denmark, Iceland, Norway & Sweden",Discover WILD & RUGGED Norway 🇳🇴 [S3 - Eps. 29] , 2 years , 17 ,"s 387,882 views"
283,"SEASON 3 - Denmark, Iceland, Norway & Sweden",Motorcycling in Norway? 🇳🇴 Don't miss out on THIS place!! [S3 - Eps. 30] , 2 years , 20 ,"s 516,294 views"
284,"SEASON 3 - Denmark, Iceland, Norway & Sweden",Is the Arctic Circle truly here?! [S3 - Eps. 31] , 2 years , 23 ,"s 503,865 views"
285,"SEASON 3 - Denmark, Iceland, Norway & Sweden",1700 kilometres in 4 days: I'm BACK! , 2 years , 17 ,"s 401,879 views"
286,"SEASON 3 - Denmark, Iceland, Norway & Sweden",Upgrading my Honda CB500X in the LARGEST motorcycle shop in The Netherlands [S3 - Eps. 33] , 2 years , 17 ,"s 919,731 views"
287,Adventure Intermezzo: Tour of The Netherlands,I am going to show you MY country - Eps. 1 , 3 years , 15 ,"s 465,245 views"
288,Adventure Intermezzo: Tour of The Netherlands,Riding a motorcycle at 7 meters BELOW sea level?! - Eps. 2 , 3 years , 18 ,"s 261,980 views"
289,Adventure Intermezzo: Tour of The Netherlands,A tragic day that affected my family. , 3 years , 17 ,"s 816,913 views"
290,Adventure Intermezzo: Tour of The Netherlands,Never thought I would see this: Inside the vault. , 3 years , 15 ,"s 358,247 views"
291,Adventure Intermezzo: Tour of The Netherlands,75 Years of Freedom , 3 years , 16 ,"s 347,575 views"
292,Adventure Intermezzo: Tour of The Netherlands,I bought a new motorcycle! , 3 years , 11 ,"s, 49 seconds 2,379,922 views"
293,Adventure Intermezzo: Tour of The Netherlands,New Motorcycle NAME revealed! , 3 years , 6 ,"s, 21 seconds 541,373 views"
294,SEASON 2 - Patagonia to Alaska,BIG NEWS!! (Good and bad...) , 3 years , 15 ,"s 735,742 views"
295,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 1] - START OF A NEW ADVENTURE! , 3 years , 13 ,"s, 15 seconds 613,169 views"
296,SEASON 2 - Patagonia to Alaska,[S2 - Eps 2] - Welcome to the UK! , 3 years , 14 ,"s, 9 seconds 570,710 views"
297,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 3] - Let's go ARGENTINA! , 3 years , 15 ,"s 569,804 views"
298,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 4] HERE WE GO AGAIN... , 3 years , 17 ,"s 528,745 views"
299,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 5] FIX THAT PUNCTURE! , 3 years , 22 ,"s 1,109,610 views"
300,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 6] OFF-ROAD PLANS FAILED , 3 years , 14 ,"s, 45 seconds 488,481 views"
301,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 7] Argentina's GHOST TOWN , 3 years , 15 ,"s 459,863 views"
302,SEASON 2 - Patagonia to Alaska,[S2 -Eps.8] FIRST MOUNTAINS in ARGENTINA , 3 years , 14 ,"s, 23 seconds 388,908 views"
303,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 9] UH-OH.. That's a problem. , 3 years , 14 ,"s, 57 seconds 393,614 views"
304,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 10] Incredible WILDLIFE in ARGENTINA! , 3 years , 15 ,"s 348,287 views"
305,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 11] YES!! On the road again! , 3 years , 12 ,"s, 30 seconds 347,343 views"
306,SEASON 2 - Patagonia to Alaska,"[S2 - Eps. 12] PENGUINS at Peninsula Valdes, Argentina ", 3 years , 13 ,"s, 12 seconds 307,166 views"
307,SEASON 2 - Patagonia to Alaska,"[S2 - Eps. 13] Into the wild! - El Cabo Raso, Argentina ", 3 years , 18 ,"s 334,984 views"
308,SEASON 2 - Patagonia to Alaska,"[S2 - Eps. 14]  Nobody comes here... El Cabo, Argentina ", 3 years , 13 ,"s, 56 seconds 300,955 views"
309,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 15] You HAVE to ride Ruta Provincial 1 in Argentina! , 3 years , 11 ,"s, 53 seconds 294,412 views"
310,SEASON 2 - Patagonia to Alaska,"[S2 - Eps. 16] A walk through JURASSIC times - Bosques Petrificados de Jamarillo, Argentina ", 3 years , 17 ,"s 298,213 views"
311,SEASON 2 - Patagonia to Alaska,"[S2 - Eps. 17] A CRAZY day in Patagonia, Argentina ", 3 years , 18 ,"s 325,812 views"
312,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 18] CROSSING INTO CHILE - on a Royal Enfield Himalayan , 3 years , 15 ,"s 297,560 views"
313,SEASON 2 - Patagonia to Alaska,[S2 - Eps.19] You WON'T believe what I saw in Tierra del Fuego! , 3 years , 15 ,"s 351,062 views"
314,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 20] Seeing snow-capped mountains after 4000 kilometers of flat lands.. , 3 years , 13 ,"s, 50 seconds 297,697 views"
315,SEASON 2 - Patagonia to Alaska,[S2 -Eps. 21] I reached the End of the Road! , 3 years , 14 ,"s, 41 seconds 283,996 views"
316,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 22] Let's get OUT OF HERE - Tierra del Fuego Patagonia , 3 years , 20 ,"s 310,033 views"
317,SEASON 2 - Patagonia to Alaska,"[S2 - Eps. 23] Spending a day with locals in Porvenir, Chile ", 3 years , 20 ,"s 299,232 views"
318,SEASON 2 - Patagonia to Alaska,"[S2 - Eps. 24] Visiting Pigeon Mountain. Wait, WHAT?! ", 3 years , 22 ,"s 312,344 views"
319,SEASON 2 - Patagonia to Alaska,"[S2 - Eps. 25] Discover Torres del Paine National Park, Chile ", 3 years , 15 ,"s 325,121 views"
320,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 26] An afternoon with an unusual surviving glacier , 3 years , 16 ,"s 320,912 views"
321,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 27] What am I doing?? , 3 years , 16 ,"s 284,246 views"
322,SEASON 2 - Patagonia to Alaska,[S2 - Eps 28] This is why there are so many dead trees in Patagonia. , 3 years , 15 ,"s 276,704 views"
323,SEASON 2 - Patagonia to Alaska,"[S2 - Eps. 29] Riding to a Patagonian Estancia, Argentina ", 3 years , 16 ,"s 272,329 views"
324,SEASON 2 - Patagonia to Alaska,"[S2 - Eps. 30] Horse riding in wild Patagonia, Argentina ", 3 years , 12 ,"s, 2 seconds 234,000 views"
325,SEASON 2 - Patagonia to Alaska,"[S2 - Eps. 31] This is 9,000 years old hidden art in Argentina! ", 3 years , 17 ,"s 242,970 views"
326,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 32] First time crossing the Andes on my Royal Enfield Himalayan , 3 years , 19 ,"s 290,409 views"
327,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 33] Did you ever hear of the Marble Caves in Chile? , 3 years , 19 ,"s 264,788 views"
328,SEASON 2 - Patagonia to Alaska,"[S2 - Eps. 34] Battling Dust & Road works on the Carretera Austral, Chile ", 3 years , 12 ,"s, 18 seconds 245,075 views"
329,SEASON 2 - Patagonia to Alaska,"[S2 - Eps. 35]  A tragedy happened here - To Futaleufu, Chile by Motorcycle ", 3 years , 19 ,"s 272,244 views"
330,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 36] Where are the Alerces in Parque National de Alerces in Argentina? , 3 years , 20 ,"s 259,339 views"
331,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 37] 11.000 kilometers on my Royal Enfield Himalayan! , 3 years , 19 ,"s 320,925 views"
332,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 38] IB CHRISTMAS SPECIAL , 3 years , 25 ,"s 296,905 views"
333,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 39] Riding a motorcycle on an ACTIVE VOLCANO! , 3 years , 17 ,"s 276,921 views"
334,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 40] Crossing the remote Paso Pichachen in Argentina by motorcycle , 3 years , 20 ,"s 306,547 views"
335,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 41] My motorcycle and me are boiling in the desert in Argentina , 3 years , 23 ,"s 299,837 views"
336,SEASON 2 - Patagonia to Alaska,"[S2 - Eps. 42] The final stretch to Mendoza, Argentina! ", 3 years , 11 ,"s, 18 seconds 245,794 views"
337,SEASON 2 - Patagonia to Alaska,"[S2 - Eps. 43] I'm so sorry, Dhanno! ", 3 years , 15 ,"s 338,541 views"
338,SEASON 2 - Patagonia to Alaska,"[S2 - Eps. 44] Riding at almost 5,000 metres altitude in the Andes,  at Paso Agua Negra ", 3 years , 22 ,"s 311,583 views"
339,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 45] Royal Enfield Himalayan Maintenance needed! , 3 years , 14 ,"s, 54 seconds 323,596 views"
340,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 46] Caught in a hail storm at 4700 meters altitude in the Andes! , 3 years , 22 ,"s 453,532 views"
341,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 47] Can somebody please explain me THIS? , 3 years , 20 ,"s 328,648 views"
342,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 48] Riding in SAND - SAND - SAND! , 3 years , 15 ,"s 296,739 views"
343,SEASON 2 - Patagonia to Alaska,"[S2 - Eps. 49] Parts breaking off my Royal Enfield Himalayan to see this: Cono de Arita, Argentina ", 3 years , 28 ,"s 904,672 views"
344,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 50] I'm OUT! , 3 years , 16 ,"s 509,606 views"
345,SEASON 2 - Patagonia to Alaska,[S2 - Eps.  51] I'm BACK!! , 3 years , 14 ,"s, 21 seconds 409,402 views"
346,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 52] This Argentinean dog BIT me! , 3 years , 26 ,"s 503,202 views"
347,SEASON 2 - Patagonia to Alaska,"[S2 - Eps. 53] Sleeping at 4,000 meters altitude at the Argentina-Chile border!! ", 3 years , 21 ,"s 373,022 views"
348,SEASON 2 - Patagonia to Alaska,"[S2 - Eps. 54] Goodbye, Argentina!! ", 3 years , 14 ,"s, 13 seconds 324,764 views"
349,SEASON 2 - Patagonia to Alaska,"[S2 - Eps. 55] I'm FLOATING!! in Laguna Baltinache, Chile ", 3 years , 11 ,"s, 36 seconds 405,639 views"
350,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 56] Crossing into BOLIVIA! , 3 years , 15 ,"s 327,263 views"
351,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 57] Riding the Ruta de Las Lagunas in Bolivia by MOTORCYCLE , 3 years , 11 ,"s, 10 seconds 275,438 views"
352,SEASON 2 - Patagonia to Alaska,"[S2 - Eps. 58] I’m LOST at 4,600 meters altitude in BOLIVIA ", 3 years , 20 ,"s 310,424 views"
353,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 59]  Surviving torrential downpour in Bolivia , 3 years , 23 ,"s 346,644 views"
354,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 60] ALONE on the road in Bolivia [Uyuni to Potosi] , 3 years , 13 ,"s, 8 seconds 301,365 views"
355,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 61] WARNING: SHOCKING!!  This is where your silver comes from. , 3 years , 22 ,"s 394,700 views"
356,SEASON 2 - Patagonia to Alaska,"[S2 - Eps. 62] The crater of Maragua, Bolivia - Does it exist? ", 3 years , 16 ,"s 294,769 views"
357,SEASON 2 - Patagonia to Alaska,"[S2 - Eps. 63] Why you should visit Maragua, BOLIVIA! ", 3 years , 16 ,"s 281,202 views"
358,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 64] Che Guevara was EXECUTED right here.. , 3 years , 16 ,"s 321,953 views"
359,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 65] I'm STUCK here in Bolivia. , 3 years , 14 ,"s, 54 seconds 369,289 views"
360,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 66] Riding a motorcycle through THE CLOUDS! , 3 years , 22 ,"s 331,392 views"
361,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 67] Bolivia in the rainy season - LANDSLIDES! , 3 years , 17 ,"s 313,971 views"
362,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 68] ESCAPING more destructive rain in BOLIVIA! , 3 years , 18 ,"s 336,289 views"
363,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 69] Trying to get out of Bolivia because corona virus COVID-19 outbreak - ESCAPE! , 3 years , 21 ,"s 420,223 views"
364,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 71] I'm in LOCKDOWN in Peru. , 3 years , 12 ,"s, 17 seconds 401,151 views"
365,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 70] I have to leave my motorcycle behind... , 3 years , 16 ,"s 390,843 views"
366,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 72] Things took a turn for the worse in Peru... , 3 years , 35 ,"s 1,277,723 views"
367,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 73] Evacuation from Peru , 3 years , 15 ,"s 645,320 views"
368,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 74] Evacuation from Peru - PART 2 , 3 years , 16 ,"s 470,393 views"
369,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 75] LIMA in QUARANTINE , 3 years , 8 ,"s, 41 seconds 523,282 views"
370,SEASON 2 - Patagonia to Alaska,[S2 - Eps. 76] Repatriated from Peru , 3 years , 9 ,"s 582,089 views"
371,SEASON 1 - India to Europe,[S1- Eps. 1] KICKOFF!! , 4 years , 4 ,"s, 53 seconds 1,346,013 views"
372,SEASON 1 - India to Europe,[S1- Eps. 2] An EMPTY road in India , 4 years , 3 ,"s, 36 seconds 658,959 views"
373,SEASON 1 - India to Europe,[S1- Eps. 3 ] GANGA AARTI in India , 4 years , 3 ,"s, 54 seconds 486,887 views"
374,SEASON 1 - India to Europe,[S1- Eps. 4] Battling Cows in India , 4 years , 5 ,"s, 22 seconds 427,671 views"
375,SEASON 1 - India to Europe,[S1- Eps. 5] CHAIN MAINTENANCE of a Royal Enfield Himalayan , 4 years , 4 ,"s, 25 seconds 392,433 views"
376,SEASON 1 - India to Europe,[S1- Eps. 6] FRESH AIR! , 4 years , 4 ,"s, 15 seconds 387,966 views"
377,SEASON 1 - India to Europe,[S1- Eps. 7] SIKKIM BABY! , 4 years , 5 ,"s, 9 seconds 428,419 views"
378,SEASON 1 - India to Europe,[S1- Eps. 8] TEA ANYONE? , 4 years , 4 ,"s, 30 seconds 320,985 views"
379,SEASON 1 - India to Europe,[S1- Eps. 9] GOT BEACHED in India , 4 years , 7 ,"s, 6 seconds 313,167 views"
380,SEASON 1 - India to Europe,[S1- Eps. 10] BE GENTLE ON MY CURVES , 4 years , 4 ,"s, 19 seconds 295,248 views"
381,SEASON 1 - India to Europe,[S1- Eps. 11] LOST IN THE JUNGLE , 4 years , 5 ,"s, 12 seconds 327,101 views"
382,SEASON 1 - India to Europe,[S1- Eps. 12] NEED WATER! , 4 years , 4 ,"s, 49 seconds 292,452 views"
383,SEASON 1 - India to Europe,[S1- Eps. 13] NAGALAND = DUST , 4 years , 4 ,"s, 52 seconds 257,834 views"
384,SEASON 1 - India to Europe,[S1- Eps. 14] WORST ROAD EVER? , 4 years , 6 ,"s, 17 seconds 319,016 views"
385,SEASON 1 - India to Europe,[S1- Eps. 15] LAST RIDE IN INDIA , 4 years , 5 ,"s, 32 seconds 305,572 views"
386,SEASON 1 - India to Europe,[S1 - Eps. 16] CROSSING INTO MYANMAR , 4 years , 5 ,"s, 32 seconds 324,998 views"
387,SEASON 1 - India to Europe,[S1- Eps. 17] BIKING BAGAN in Myanmar , 4 years , 5 ,"s, 5 seconds 217,999 views"
388,SEASON 1 - India to Europe,[S1- Eps. 18] WHERE IS MY MOJO? , 4 years , 5 ,"s, 19 seconds 199,630 views"
